date,arks,gen,sex,origin,trial,treatment,spent.sec,attack.type,leg,TBZ
10/03/2017,B70006,F1,male,NT,1,mouse,333,P,,
29/03/2017,B70007,F1,female,NT,1,mouse,93,S,,
30/03/2017,B70007,F1,female,NT,1,toad,74,S,,
29/03/2017,B70008,F1,female,NT,1,toad,434,P,,
30/03/2017,B70008,F1,female,NT,1,mouse,479,B,,
9/03/2017,B70009,F1,female,NT,1,mouse,1351,P,,
10/03/2017,B70009,F1,female,NT,1,toad,99,P,,
29/03/2017,B70010,F1,female,NT,1,mouse,192,S,,
30/03/2017,B70010,F1,female,NT,1,toad,41,S,,
29/03/2017,B70011,F1,female,NT,1,toad,291,S,,
30/03/2017,B70011,F1,female,NT,1,mouse,248,S,,
29/03/2017,B70015,F1,male,NT,1,mouse,358,P,,
30/03/2017,B70015,F1,male,NT,1,toad,171,P,,
19/03/2017,B70016,F1,female,NT,1,mouse,1029,P,,
20/03/2017,B70016,F1,female,NT,1,toad,365,B,,
19/03/2017,B70017,F1,female,NT,1,toad,275,P,,
20/03/2017,B70017,F1,female,NT,1,mouse,653,S,,
29/03/2017,B70018,F1,male,NT,1,mouse,400,P,,
30/03/2017,B70018,F1,male,NT,1,toad,489,P,,
29/03/2017,B70019,F1,male,NT,1,toad,200,S,,
30/03/2017,B70019,F1,male,NT,1,mouse,1026,S,,
29/03/2017,B70020,F1,male,NT,1,toad,336,B,,
30/03/2017,B70020,F1,male,NT,1,mouse,1540,B,,
30/03/2017,B70021,F1,male,NT,1,mouse,663,B,,
31/03/2017,B70021,F1,male,NT,1,toad,149,S,,
19/03/2017,B70022,F1,female,NT,1,mouse,1163,B,,
20/03/2017,B70022,F1,female,NT,1,toad,138,S,,
29/03/2017,B70023,F1,male,NT,1,toad,155,S,,
30/03/2017,B70023,F1,male,NT,1,mouse,58,S,,
29/03/2017,B70024,F1,female,NT,1,mouse,599,S,,
30/03/2017,B70024,F1,female,NT,1,toad,320,S,,
29/03/2017,B70025,F1,male,NT,1,mouse,431,P,,
30/03/2017,B70025,F1,male,NT,1,toad,304,S,,
29/03/2017,B70026,F1,female,NT,1,toad,103,P,,
30/03/2017,B70026,F1,female,NT,1,mouse,154,S,,
29/03/2017,B70027,F1,male,NT,1,toad,428,B,,
30/03/2017,B70027,F1,male,NT,1,mouse,177,S,,
29/03/2017,B70028,F1,female,NT,1,mouse,249,S,,
30/03/2017,B70028,F1,female,NT,1,toad,97,S,,
19/03/2017,B70029,F1,male,NT,1,toad,466,B,,
20/03/2017,B70029,F1,male,NT,1,mouse,359,B,,
9/03/2017,B70030,F1,female,NT,1,mouse,206,S,,
10/03/2017,B70030,F1,female,NT,1,toad,144,P,,
19/03/2017,B70031,F1,male,NT,1,mouse,713,P,,
20/03/2017,B70031,F1,male,NT,1,toad,290,P,,
19/03/2017,B70032,F1,male,NT,1,toad,190,S,,
20/03/2017,B70032,F1,male,NT,1,mouse,597,B,,
9/03/2017,B70033,F1,female,NT,1,toad,352,P,,
10/03/2017,B70033,F1,female,NT,1,mouse,108,S,,
19/03/2017,B70037,F1,female,NT,1,mouse,354,S,,
20/03/2017,B70037,F1,female,NT,1,toad,209,P,,
19/03/2017,B70038,F1,female,NT,1,toad,598,S,,
20/03/2017,B70038,F1,female,NT,1,mouse,490,S,,
19/03/2017,B70039,F1,female,NT,1,mouse,408,S,,
20/03/2017,B70039,F1,female,NT,1,toad,460,P,,
19/03/2017,B70040,F1,female,NT,1,toad,449,S,,
20/03/2017,B70040,F1,female,NT,1,mouse,158,P,,
19/03/2017,B70041,F1,female,NT,1,mouse,358,S,,
20/03/2017,B70041,F1,female,NT,1,toad,154,S,,
9/03/2017,B70049,F1,male,NT,1,toad,286,S,,
10/03/2017,B70049,F1,male,NT,1,mouse,319,P,,
9/03/2017,B70050,F1,female,NT,1,mouse,908,B,,
10/03/2017,B70050,F1,female,NT,1,toad,194,S,,
9/03/2017,B70075,F1,female,NT,1,toad,212,S,,
10/03/2017,B70075,F1,female,NT,1,mouse,317,S,,
9/03/2017,B70076,F1,male,NT,1,mouse,631,B,,
10/03/2017,B70076,F1,male,NT,1,toad,202,P,,
29/03/2017,B70077,F1,male,NT,1,toad,511,S,,
30/03/2017,B70077,F1,male,NT,1,mouse,640,P,,
29/03/2017,B70078,F1,male,NT,1,mouse,215,B,,
30/03/2017,B70078,F1,male,NT,1,toad,161,S,,
29/03/2017,B70079,F1,female,NT,1,mouse,357,B,,
30/03/2017,B70079,F1,female,NT,1,toad,435,S,,
29/03/2017,B70080,F1,female,NT,1,toad,135,S,,
30/03/2017,B70080,F1,female,NT,1,mouse,308,P,,
29/03/2017,B70082,F1,female,NT,1,mouse,75,B,,
1/04/2017,B70082,F1,female,NT,1,toad,365,P,,
29/03/2017,B70083,F1,male,NT,1,toad,343,B,,
30/03/2017,B70083,F1,male,NT,1,mouse,406,S,,
18/04/2016,B50276,F1,male,QLD,1,mouse,266,P,,
19/04/2016,B50276,F1,male,QLD,1,toad,68,S,,
11/05/2016,B60005,F1,female,QLD,1,toad,248,P,,
13/05/2016,B60005,F1,female,QLD,1,mouse,552,P,,
11/05/2016,B60006,F1,male,QLD,1,mouse,645,B,,
12/05/2016,B60006,F1,male,QLD,1,toad,308,S,,
4/05/2016,B60007,F1,male,QLD,1,mouse,1583,B,,
5/05/2016,B60007,F1,male,QLD,1,toad,38,S,,
11/05/2016,B60008,F1,male,QLD,1,mouse,584,B,,
12/05/2016,B60008,F1,male,QLD,1,toad,280,B,,
3/05/2016,B60009,F1,male,QLD,1,mouse,1025,P,,
4/05/2016,B60009,F1,male,QLD,1,toad,164,P,,
11/05/2016,B60010,F1,male,QLD,1,toad,464,P,,
12/05/2016,B60010,F1,male,QLD,1,mouse,1983,B,,
4/05/2016,B60011,F1,female,QLD,1,mouse,146,S,,
5/05/2016,B60011,F1,female,QLD,1,toad,42,S,,
18/04/2016,B60012,F1,male,QLD,1,mouse,1081,B,,
19/04/2016,B60012,F1,male,QLD,1,toad,158,S,,
3/05/2016,B60013,F1,male,QLD,1,mouse,233,B,,
4/05/2016,B60013,F1,male,QLD,1,toad,303,S,,
18/04/2016,B60014,F1,male,QLD,1,toad,108,S,,
19/04/2016,B60014,F1,male,QLD,1,mouse,257,P,,
4/05/2016,B60016,F1,female,QLD,1,mouse,591,P,,
5/05/2016,B60016,F1,female,QLD,1,toad,142,S,,
18/04/2016,B60017,F1,male,QLD,1,toad,129,S,,
19/04/2016,B60017,F1,male,QLD,1,mouse,582,B,,
11/05/2016,B60018,F1,female,QLD,1,toad,85,S,,
12/05/2016,B60018,F1,female,QLD,1,mouse,83,S,,
11/05/2016,B60019,F1,female,QLD,1,mouse,160,B,,
12/05/2016,B60019,F1,female,QLD,1,toad,13,S,,
18/04/2016,B60020,F1,male,QLD,1,toad,15,S,,
19/04/2016,B60020,F1,male,QLD,1,mouse,1024,B,,
18/04/2016,B60021,F1,male,QLD,1,mouse,1483,B,,
19/04/2016,B60021,F1,male,QLD,1,toad,289,P,,
11/05/2016,B60022,F1,female,QLD,1,mouse,378,P,,
12/05/2016,B60022,F1,female,QLD,1,toad,43,S,,
11/05/2016,B60023,F1,female,QLD,1,toad,348,S,,
12/05/2016,B60023,F1,female,QLD,1,mouse,597,B,,
3/05/2016,B60024,F1,male,QLD,1,mouse,121,P,,
4/05/2016,B60024,F1,male,QLD,1,toad,17,S,,
11/05/2016,B60025,F1,male,QLD,1,toad,265,P,,
12/05/2016,B60025,F1,male,QLD,1,mouse,404,B,,
11/05/2016,B60026,F1,female,QLD,1,toad,194,P,,
12/05/2016,B60026,F1,female,QLD,1,mouse,424,B,,
3/05/2016,B60027,F1,female,QLD,1,toad,441,P,,
4/05/2016,B60027,F1,female,QLD,1,mouse,217,S,,
11/05/2016,B60028,F1,male,QLD,1,toad,425,P,,
12/05/2016,B60028,F1,male,QLD,1,mouse,388,S,,
8/04/2017,B70042,F2,female,QLD,1,mouse,673,P,,
9/04/2017,B70042,F2,female,QLD,1,toad,290,S,,
8/04/2017,B70043,F2,female,QLD,1,toad,531,S,,
9/04/2017,B70043,F2,female,QLD,1,mouse,383,B,,
9/03/2017,B70044,F2,male,QLD,1,mouse,513,P,,
10/03/2017,B70044,F2,male,QLD,1,toad,357,B,,
9/03/2017,B70045,F2,male,QLD,1,mouse,218,S,,
10/03/2017,B70045,F2,male,QLD,1,toad,306,B,,
9/03/2017,B70046,F2,male,QLD,1,toad,317,B,,
10/03/2017,B70046,F2,male,QLD,1,mouse,255,B,,
8/04/2017,B70047,F2,female,QLD,1,mouse,586,P,,
9/04/2017,B70047,F2,female,QLD,1,toad,171,B,,
19/03/2017,B70057,F2,female,QLD,1,toad,484,S,,
20/03/2017,B70057,F2,female,QLD,1,mouse,307,S,,
19/03/2017,B70058,F2,female,QLD,1,mouse,476,S,,
20/03/2017,B70058,F2,female,QLD,1,toad,192,P,,
8/04/2017,B70059,F2,male,QLD,1,toad,303,P,,
9/04/2017,B70059,F2,male,QLD,1,mouse,846,B,,
8/04/2017,B70060,F2,male,QLD,1,toad,615,P,,
9/04/2017,B70060,F2,male,QLD,1,mouse,468,P,,
8/04/2017,B70061,F2,male,QLD,1,toad,543,S,,
9/04/2017,B70061,F2,male,QLD,1,mouse,600,B,,
8/04/2017,B70062,F2,male,QLD,1,mouse,693,P,,
9/04/2017,B70062,F2,male,QLD,1,toad,287,P,,
8/04/2017,B70063,F2,male,QLD,1,mouse,616,S,,
9/04/2017,B70063,F2,male,QLD,1,toad,286,P,,
19/03/2017,B70065,F2,male,QLD,1,toad,171,S,,
20/03/2017,B70065,F2,male,QLD,1,mouse,379,B,,
19/03/2017,B70066,F2,female,QLD,1,mouse,317,P,,
20/03/2017,B70066,F2,female,QLD,1,toad,264,S,,
